1.109255907347975835e+03,3.432351800109747160e+02,3.681608087277271579e+02,3.723713477645031276e+02,3.983481760058231771e+02,4.293941153386554674e+02,4.487164154310665936e+02,4.960443867144242063e+02,5.547583485306821558e+02,5.442946226360953688e+02,5.982084397293541542e+02,6.336606155973104251e+02,6.139033260122292859e+02,6.212349552565359545e+02,6.241334599500396507e+02,5.987377877646731577e+02,5.481707147043709938e+02,5.456490135950328977e+02,5.358328883115178769e+02,4.884351217880969216e+02,4.620615124575501795e+02,4.542507278531946895e+02,3.939064383103063278e+02,3.972882765054285414e+02,3.437064315936539174e+02,2.930936119907198076e+02,2.374138871581189392e+02,1.913378528415603625e+02,1.198058441748832053e+02,5.842237230221505939e+01,6.679990172272342264e+00,-8.107891760591580521e+01,-1.129516641649466351e+02,-7.146628682471487082e+01,-7.349390927440367705e+01,-2.440303793904119445e+01,1.072457961520848180e+01,1.274823865146522195e+02,1.642606600920983340e+02,1.794180715598955658e+02,2.029352738391687865e+02,1.290536911165913523e+02,8.782106748906610960e+01,7.766603536888246140e+01,1.377299387564346489e+02,1.663127972971401221e+02,2.162361960266229914e+02,-4.907198465101475193e+01,-3.233051153324499438e+01,-4.896259829931537411e+01,-5.546689090408258238e+01,-2.250198225005960850e+01,-1.664728117822675202e+01,-4.126157525020006744e+01,-2.735625861181755880e+01,-1.644086378097862422e+01,-1.914550060764693740e+01,-2.200859805314637097e+00,-1.632457899138646473e+00,8.851636254079542354e+00,3.862052298658939264e+01,3.913787900612773996e+01,3.339433091646144902e+01,4.003229916775165975e+01,3.559367548676111426e+01,3.508154089002395892e+01,2.338411474343990903e+01,1.033739019626421651e+01,7.372239890071809576e+00,9.707357601734301511e+00,5.115877291036609265e+00,5.546686658375887369e+00
3.432351800109747160e+02,1.190774939333027078e+03,4.198219083782237249e+02,4.252385978518559568e+02,4.565855780268350941e+02,4.968013478989783493e+02,5.179551701144923754e+02,5.731456433624582587e+02,6.327676224941664032e+02,6.185213582646498480e+02,6.693653432117438342e+02,7.079537885175670908e+02,6.936427133827526177e+02,6.969685550092420954e+02,6.920787424985795724e+02,6.684662363970210208e+02,6.276014064489967268e+02,6.273605373096130506e+02,6.100913158222165293e+02,5.561977619510405475e+02,5.279071810896172110e+02,5.232167015849978497e+02,4.499411749784561039e+02,4.294366684619376429e+02,3.675275178854397495e+02,2.907393045033240924e+02,2.236171298013744035e+02,1.577006785554129067e+02,1.152422913541436174e+02,1.029688787844643656e+02,7.106268442976065103e+01,9.581991440747954059e+00,-1.285589172804775160e+01,5.072275713925764151e+00,-3.114395785757028179e+01,-3.045185555092770446e+00,-8.995565079601051117e-01,1.311219661076473244e+02,2.159057956809425036e+02,2.437378594539135577e+02,2.487656325534007635e+02,1.660726749324415437e+02,9.684064553229305261e+01,7.973770517143887560e+01,1.088572557321150498e+02,1.139819588391030436e+02,1.503271526534725240e+02,-1.189750821891547332e+02,-8.151545761928399259e+01,-9.575074067602615457e+01,-1.026463644297078162e+02,-5.328248745779823281e+01,-3.765699453348388914e+01,-5.497899593222927450e+01,-4.539003854456160525e+01,-2.360498366636165812e+01,-1.157855079136514931e+01,4.016977333138241235e+00,-6.878197336740332624e+00,-4.407315910495444911e+00,2.547425171561629398e+01,2.871729629013991314e+01,2.210376249087986977e+01,3.027042768828187036e+01,2.534868883872506018e+01,2.918977251903267600e+01,9.493216576222776482e+00,-6.313470868942613556e+00,-7.731614201503663963e+00,-3.312849079402494734e+00,-5.918573312678691245e+00,-3.759999797681066624e+00
3.681608087277271579e+02,4.198219083782237249e+02,1.248962988136905324e+03,4.708448249221283959e+02,5.027539379791701890e+02,5.395241901518644454e+02,5.584595941329704374e+02,6.122595192587269821e+02,6.772527033106142653e+02,6.607404369599553320e+02,7.198255694476504232e+02,7.648695743722352063e+02,7.483894679224623587e+02,7.552577380703496601e+02,7.573819180672119273e+02,7.375613258684903712e+02,6.968210950612276520e+02,7.121682865542628633e+02,6.998049527922429434e+02,6.433659769153197203e+02,6.061532682005320112e+02,6.083549668503832208e+02,5.337775217923026503e+02,5.200350800573446577e+02,4.518134126204913628e+02,3.840165529133001883e+02,3.191740745234076826e+02,2.438819631615423873e+02,1.775488501317337580e+02,1.336543416425028283e+02,9.074987743830713782e+01,1.810083823993261376e+01,-1.630097225492841417e+01,1.157897012723060293e+01,-1.305073338854321818e+01,3.402049678129250765e+01,5.874786050075176291e+01,1.978551094288440879e+02,2.761966664201814865e+02,2.982066144816892574e+02,3.206069850769407594e+02,2.169876072211526434e+02,1.553908441952581825e+02,1.376775371685558298e+02,1.542555667974880294e+02,1.826718999951734475e+02,2.275112838101024408e+02,-6.673756245920112917e+01,-1.851533250404119002e+01,-4.612368155952083271e+01,-6.015639689211668895e+01,-1.237624138400870244e+01,-8.966967917576513791e-01,-2.282249157985837229e+01,-1.180452394676234995e+01,1.532494714251598822e+01,2.284753084189444294e+01,4.125339402029684521e+01,3.239610597301800965e+01,3.929077611892495270e+01,7.222723138479997829e+01,7.134667978685952505e+01,5.517644658210647890e+01,6.032513724807343181e+01,4.761935514100179745e+01,4.549269294587874413e+01,2.082528852856528445e+01,-2.550474996936023420e+00,-6.845748043482547729e+00,-3.692764639854654973e+00,-5.766408369303261061e+00,-2.479669249057195213e+00
3.723713477645031276e+02,4.252385978518559568e+02,4.708448249221283959e+02,1.284769805933745602e+03,5.246111506109941729e+02,5.600856092988068440e+02,5.735173747188910056e+02,6.237438377985715761e+02,6.850815288078731555e+02,6.646631269092633829e+02,7.194744710936137153e+02,7.684432731534650429e+02,7.524789159702917232e+02,7.666110584260612768e+02,7.718971347329861601e+02,7.654661678545057839e+02,7.293860356126749593e+02,7.435168569910503038e+02,7.339723315059820834e+02,6.818263487422345861e+02,6.387490832074463469e+02,6.423907484466669757e+02,5.657401628208094735e+02,5.418785136496391033e+02,4.783185728048266583e+02,4.091539416959623736e+02,3.591434085366569775e+02,2.864973662341314480e+02,2.037939586676652084e+02,1.478704658417000246e+02,1.031183218747831773e+02,2.911302262696399268e+01,-1.610754478471132245e+01,1.048576076221990228e+01,6.368006213772686053e+00,4.520807103295220486e+01,7.923131499119890009e+01,2.153192752326062589e+02,3.103923891576706637e+02,3.267899996358500516e+02,3.413397567917210722e+02,2.255612751371456852e+02,1.805143272581685210e+02,1.651469641970730891e+02,1.700093373755695723e+02,2.116087743949513822e+02,2.630939565167097385e+02,-5.434730592025379536e+01,9.742413646474400224e+00,-3.457797122849903815e+01,-5.603789232627993755e+01,-7.479113947589741684e+00,-2.034731542320476549e+01,-4.383145118549801111e+01,-3.125920509337018061e+01,-5.438114277313135236e-01,4.008085753509069704e+00,3.024268158559186404e+01,2.854880088186949649e+01,3.974832972477641135e+01,7.368443082882788531e+01,7.488289878224868801e+01,5.885878788197942413e+01,6.556763868417661456e+01,4.890848451294083077e+01,4.666585475853415232e+01,2.239797183978557982e+01,-1.635506286350874250e+00,-7.354455055578998923e+00,-6.241373437070588004e+00,-8.303819172992387365e+00,-4.660504205903809982e+00
3.983481760058231771e+02,4.565855780268350941e+02,5.027539379791701890e+02,5.246111506109941729e+02,1.371577720668910388e+03,6.335434641909643005e+02,6.593333924519236007e+02,7.227476801036233383e+02,7.879955135225563936e+02,7.658473282560187272e+02,8.386443711733421651e+02,8.990603665996087557e+02,8.823449003048509667e+02,8.928482209127218994e+02,8.921051017924556845e+02,8.851493310007024320e+02,8.543492583858512717e+02,8.822394244751986889e+02,8.753699290148372256e+02,8.085555570917622390e+02,7.579145814622046373e+02,7.676137110777622183e+02,6.693815657351532309e+02,6.387697534144449492e+02,5.541657390178609148e+02,4.748155681823921554e+02,3.945394344101171100e+02,3.112429051166915315e+02,2.269313663491008981e+02,1.764227371085389393e+02,1.321029559030286009e+02,4.618753119950745401e+01,4.341214976453312835e-02,2.301502608260257787e+01,6.555963105796364099e-01,4.045644494716674444e+01,7.232857307809763370e+01,2.332176084245670040e+02,3.485526592844946663e+02,3.758313814927661838e+02,4.057852410674934163e+02,2.921845489628381642e+02,2.302643323527063046e+02,2.070676063558307476e+02,1.945135578244577630e+02,2.183132684907052408e+02,2.558813964697264680e+02,-6.044548186463383388e+01,-1.685888339723671692e+01,-6.931201264119638950e+01,-9.981711432949477114e+01,-4.559995835998839198e+01,-5.642442135968406092e+01,-8.413604306101665031e+01,-7.709879586986538413e+01,-4.840949114419226618e+01,-2.204057844826804313e+01,1.329318522212138021e+01,1.851116001328048810e+01,3.641826481540591942e+01,8.124562051500384996e+01,8.638320243554494482e+01,7.318628755414049181e+01,8.249960078970460131e+01,6.672296699682487997e+01,6.502185334605002254e+01,3.874492878440488397e+01,1.252568736962675189e+01,5.542088827526128192e+00,2.624313641361277760e+00,-3.886515855591320623e+00,-4.078321416131113430e+00
4.293941153386554674e+02,4.968013478989783493e+02,5.395241901518644454e+02,5.600856092988068440e+02,6.335434641909643005e+02,1.803981268465807489e+03,1.034715249389975270e+03,1.078152065377763847e+03,1.140076074386890241e+03,1.106041503316655508e+03,1.193782104734768154e+03,1.270649697368361331e+03,1.263118462599465147e+03,1.298469423849527175e+03,1.307510019393468610e+03,1.290239158122375102e+03,1.271565900177321055e+03,1.350072346950097426e+03,1.340024600624097047e+03,1.220231377121838705e+03,1.079296143374118401e+03,1.035965053919535649e+03,9.292163230176073512e+02,8.064024552694219210e+02,6.858452207586117311e+02,5.945386270659762431e+02,4.752568360721417093e+02,4.003153499242316116e+02,2.972796604089573407e+02,2.687809980283154232e+02,1.775355846621078513e+02,1.872938235541878171e+01,-3.374559352075976904e+01,-3.491437147780211347e+01,-7.876652448969078080e+01,-3.824352059374170665e+01,-1.835195707444255930e+01,2.225099418021409861e+02,4.067185553719297104e+02,5.073377465040480274e+02,5.475871178826357664e+02,4.363281682547648757e+02,4.075805397702358164e+02,3.639321490203349185e+02,3.343571023674081744e+02,2.877321593316799522e+02,3.218068444611176346e+02,-9.856625685378980961e+01,-4.840242673451983535e+01,-1.237670375747493807e+02,-1.751149157009301689e+02,-1.588554353648699191e+02,-1.662221058236353315e+02,-1.764630020806953041e+02,-1.938649674933438405e+02,-1.600231490115259874e+02,-1.003842091509050363e+02,-5.241299162177841708e+01,-8.152294405802281574e+01,-6.915637955246602075e+01,-2.408722860782231479e+01,-6.377783650054122511e+00,-3.354120043933994655e+00,1.537492478231591697e+01,8.129747356471641595e+00,2.140802572885599986e+01,2.945507214202118362e+00,-1.762204499479789632e+01,-1.989896829369672204e+01,-2.263664934452758715e+01,-2.574324091662652947e+01,-2.436007034135237248e+01
4.487164154310665936e+02,5.179551701144923754e+02,5.584595941329704374e+02,5.735173747188910056e+02,6.593333924519236007e+02,1.034715249389975270e+03,1.883570976061941110e+03,1.162560061893447028e+03,1.245358565706178751e+03,1.220233478487546790e+03,1.336014345621106258e+03,1.425119974761174262e+03,1.431906442390780285e+03,1.464542669173300737e+03,1.473204856762973805e+03,1.446686966373807991e+03,1.416804082339174101e+03,1.503513127049269315e+03,1.497537142390387544e+03,1.356188854296222416e+03,1.206204134154595749e+03,1.155765792687993553e+03,1.019854134338548761e+03,8.951168731397001466e+02,7.572966306789409145e+02,6.510359939106981528e+02,5.134254397465136890e+02,4.295554553673812279e+02,3.245239098117752405e+02,2.870995490044554117e+02,1.864967526665296589e+02,2.534549919424366848e+01,-2.682434780490751791e+01,-4.260713456005906608e+01,-1.154101802267313985e+02,-6.537804533817765673e+01,-2.814766127088918424e+01,2.415275142579061480e+02,4.364388076881522238e+02,5.489833104858860224e+02,6.153148070508403862e+02,5.140560213719772946e+02,4.565740439518420999e+02,4.058514602136364147e+02,3.916962741783028719e+02,3.125061219476818906e+02,3.173098038003714692e+02,-9.229750538620356792e+01,-4.727354176764731619e+01,-1.224251795220426686e+02,-1.773777178785010449e+02,-1.527010655874259726e+02,-1.711980038743503485e+02,-1.900159393222050426e+02,-2.199625203470844781e+02,-1.927217446104086207e+02,-1.283631453074799822e+02,-8.378692246250396636e+01,-1.219848146923402226e+02,-1.070167300185720620e+02,-5.629619081985006801e+01,-3.444698810187721705e+01,-2.911533021855715120e+01,-6.072234100465923490e+00,-5.793292866422793175e+00,5.067730148031299731e-01,-1.126479722027872121e+01,-2.682713216503745812e+01,-2.964369189696327211e+01,-3.206115624573685352e+01,-3.222487453267721946e+01,-2.820082496678214312e+01
4.960443867144242063e+02,5.731456433624582587e+02,6.122595192587269821e+02,6.237438377985715761e+02,7.227476801036233383e+02,1.078152065377763847e+03,1.162560061893447028e+03,2.094048247128714593e+03,1.415254048145487332e+03,1.386370357157471972e+03,1.528141043329057766e+03,1.635064041508793252e+03,1.647085957916907091e+03,1.683520549112740127e+03,1.701157427416299470e+03,1.686810616003312361e+03,1.641794514042133187e+03,1.728262134589693233e+03,1.708443087100789853e+03,1.540716510677097176e+03,1.397763369318963669e+03,1.345447114492523269e+03,1.153888429762038868e+03,1.034849694334341166e+03,8.907541401308187687e+02,7.676586859200692743e+02,6.069799582021299784e+02,5.161407948574071725e+02,4.205600041767976904e+02,3.761107187098449458e+02,2.590495074950512731e+02,8.549559163633034586e+01,3.416144978016343714e+01,-1.277203117215613126e+01,-1.166317986118229442e+02,-5.952272928970716492e+01,5.383187646764823420e+00,3.155773078795982656e+02,5.320537055352569951e+02,6.646422293616813022e+02,7.458858339848343348e+02,6.330176734500369093e+02,5.175204759975971456e+02,4.641145570302728061e+02,4.864358080590402551e+02,3.870139205843868808e+02,3.683940304480349255e+02,-2.881260113095070352e+01,1.081256920964539958e+01,-7.257277489322993347e+01,-1.212415530352622000e+02,-1.022803684358823375e+02,-1.445451620887584454e+02,-1.913338801960660192e+02,-2.074473374243678450e+02,-1.533547621265053635e+02,-8.261673965883207416e+01,-6.058609454015552132e+01,-1.032515929065007185e+02,-1.054043165567586584e+02,-4.410442402775181847e+01,-3.432096863010183085e+01,-3.616622671755569485e+01,-1.465410632663196644e+01,-1.609129008212727641e+01,-8.928307575848620559e+00,-2.329294217369762876e+01,-3.908900281811550315e+01,-3.991588340840083760e+01,-3.789106163027761909e+01,-3.525938247962168504e+01,-2.640498223073110751e+01
5.547583485306821558e+02,6.327676224941664032e+02,6.772527033106142653e+02,6.850815288078731555e+02,7.879955135225563936e+02,1.140076074386890241e+03,1.245358565706178751e+03,1.415254048145487332e+03,2.372948561633902045e+03,1.573594298685294234e+03,1.752548118909346385e+03,1.880751556676618293e+03,1.906631857361676794e+03,1.952990633519424591e+03,1.981197308088307864e+03,1.950737095065861922e+03,1.879340418127927251e+03,1.964217441808911644e+03,1.934676494266289410e+03,1.729597318806545672e+03,1.571119534175584704e+03,1.509343782084048144e+03,1.280697939044046507e+03,1.161278219556611248e+03,9.917678478324919524e+02,8.710242144765322791e+02,7.111457034562340596e+02,6.165093593712088023e+02,5.151341230910269360e+02,4.538542639669399819e+02,3.110467415279684360e+02,1.241177344476863027e+02,4.133654532865229925e+01,-1.505743213525703261e+01,-1.041053149578821149e+02,-3.662046515846534334e+01,5.776077546551699982e+01,3.929620502714432746e+02,6.272704204929501657e+02,7.565864518450063088e+02,8.707694719435806974e+02,7.405366281832626782e+02,5.947129345595301402e+02,5.237726138081441150e+02,5.527504192892728270e+02,4.672730527953879118e+02,4.417744455686170113e+02,1.515110758192051321e+01,6.529474050224722248e+01,-1.400075950738416175e+01,-6.166111700359650172e+01,-6.925219803463009782e+01,-9.929872897376476715e+01,-1.702083478337280553e+02,-1.823005845954080542e+02,-1.508366026617839566e+02,-7.805319871387131059e+01,-5.757475323347000540e+01,-1.035036966976974497e+02,-9.967186075312531557e+01,-2.937350806264381120e+01,-2.324776841781391568e+01,-2.433053588506258080e+01,-5.284749545351583588e-01,-1.833036411594077597e+00,4.462008601944336128e+00,-1.175476592538145759e+01,-2.909890568928501153e+01,-3.039363624583380741e+01,-2.413009400339771915e+01,-2.202501551343434727e+01,-8.846813088105424328e+00
5.442946226360953688e+02,6.185213582646498480e+02,6.607404369599553320e+02,6.646631269092633829e+02,7.658473282560187272e+02,1.106041503316655508e+03,1.220233478487546790e+03,1.386370357157471972e+03,1.573594298685294234e+03,2.697511667658265651e+03,2.099125506240103732e+03,2.206271105012454882e+03,2.195660649224122608e+03,2.233970421992314186e+03,2.244523233468248236e+03,2.188651863375848734e+03,2.135874265355178522e+03,2.266166061432928927e+03,2.244655087193779764e+03,2.082392967429117107e+03,1.942977294621180135e+03,1.865594443279590905e+03,1.617713168237867194e+03,1.536722183890279894e+03,1.414128769180813151e+03,1.385106235556308775e+03,1.217631439871658358e+03,1.078685595491498361e+03,9.045091251099256624e+02,7.885852068665030856e+02,5.788317830195298939e+02,3.621213186511679396e+02,3.061984958226480558e+02,2.458033653986775562e+02,1.587882282272968553e+02,2.293843562056610779e+02,3.175248483242804696e+02,7.059472343453824124e+02,9.997314037582557376e+02,1.141339833453916754e+03,1.240738475945757727e+03,1.073283688912314574e+03,9.783242344957023988e+02,9.495481060818606238e+02,9.614547149871676766e+02,8.446043870070120647e+02,8.032667196784354928e+02,3.828623642823251316e+02,3.751507709805633795e+02,3.034647136275944490e+02,3.134537843292598041e+02,2.631083559527920102e+02,2.002628905785784355e+02,6.382395328233766918e+01,6.596276175833219213e+01,6.376948856858408732e+01,1.144806241554338584e+02,1.157135403063236510e+02,6.824739540510282154e+01,8.383462277657693562e+01,1.481239796594306313e+02,1.186683997291525259e+02,9.626126467724043323e+01,1.000267113835493404e+02,1.065499066496243472e+02,1.058385754581073002e+02,8.758468081633326108e+01,5.404860376657497056e+01,1.504822842742304445e+01,1.771884850361923824e+01,2.313240411476322222e+01,5.435955158389734265e+01
